word,defid,score,place,rankings,average_ranking,std_ranking,equal,log_bin,familiar,meaning_opinion,proper_noun,formal
mcdonalds,171999,2124,2,"[1, 3, 1, 1, 1]",1.4,0.8,"['none', 'all_offensive', 'all_offensive', 'none', 'all_offensive']",7,familiar_yes,opinion,proper_noun_yes,formal_yes
monster mash,1857496,47,1,"[3, 3, 3, 3, 3]",3,0,"['none', 'none', 'none', 'none', 'none']",3,familiar_no,meaning,proper_noun_no,formal_no
rawr,881106,1817,1,"[2, 2, 2, 3, 2]",2.2,0.4,"['non_offensive', 'non_offensive', 'none', 'non_offensive', 'non_offensive']",7,familiar_no,meaning,proper_noun_no,formal_no
laura,3005409,2750,1,"[2, 2, 2, 2, 2]",2,0,"['non_offensive', 'none', 'none', 'none', 'none']",5,familiar_no,meaning,proper_noun_yes,formal_no
quagmo,1338704,6,0,"[3, 3, 3, 3, 3]",3,0,"['non_offensive', 'none', 'all_offensive', 'all_offensive', 'all_offensive']",1,familiar_no,meaning,proper_noun_no,formal_no
democrat,2464359,2942,1,"[2, 3, 2, 2, 2]",2.2,0.4,"['all_offensive', 'all_offensive', 'none', 'none', 'all_offensive']",7,familiar_yes,meaning,proper_noun_yes,formal_yes
rag,1398535,287,0,"[2, 2, 1, 2, 1]",1.6,0.489897949,"['none', 'none', 'none', 'none', 'none']",6,familiar_no,meaning,proper_noun_no,formal_no
co,1129907,117,1,"[2, 3, 2, 2, 2]",2.2,0.4,"['non_offensive', 'non_offensive', 'non_offensive', 'none', 'none']",4,familiar_no,meaning,proper_noun_no,formal_no
v,2021819,423,1,"[3, 1, 3, 3, 1]",2.2,0.979795897,"['non_offensive', 'none', 'non_offensive', 'none', 'non_offensive']",5,familiar_no,meaning,proper_noun_no,formal_no
fml,1256378,5477,1,"[2, 2, 1, 1, 2]",1.6,0.489897949,"['none', 'none', 'non_offensive', 'non_offensive', 'none']",6,familiar_no,meaning,proper_noun_no,formal_no
beast mode,257516,715,0,"[2, 2, 2, 2, 3]",2.2,0.4,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'none']",6,familiar_yes,meaning,proper_noun_no,formal_no
badged,1147905,-3,2,"[2, 1, 3, 1, 2]",1.8,0.748331477,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",2,familiar_no,meaning,proper_noun_no,formal_yes
beautiful,1377211,10504,0,"[3, 3, 1, 3, 3]",2.6,0.8,"['non_offensive', 'none', 'non_offensive', 'non_offensive', 'non_offensive']",7,familiar_yes,meaning,proper_noun_yes,formal_yes
jologs,262044,119,0,"[3, 2, 3, 1, 3]",2.4,0.8,"['all_offensive', 'all_offensive', 'none', 'none', 'none']",2,familiar_no,opinion,proper_noun_no,formal_no
xbox live,8141289,1,2,"[2, 1, 3, 1, 1]",1.6,0.8,"['none', 'none', 'none', 'none', 'all_offensive']",5,familiar_no,meaning,proper_noun_no,formal_no
1337,217094,4869,1,"[1, 1, 1, 2, 1]",1.2,0.4,"['none', 'none', 'non_offensive', 'non_offensive', 'none']",6,familiar_no,meaning,proper_noun_no,formal_no
poser,162983,2848,1,"[3, 3, 1, 2, 3]",2.4,0.8,"['none', 'none', 'non_offensive', 'none', 'non_offensive']",8,familiar_yes,meaning,proper_noun_no,formal_no
jack,6211475,-7,2,"[1, 1, 1, 3, 1]",1.4,0.8,"['none', 'none', 'none', 'non_offensive', 'none']",7,familiar_no,opinion,proper_noun_no,formal_no
tmi,3629154,-89,2,"[1, 1, 1, 1, 1]",1,0,"['none', 'none', 'none', 'none', 'none']",4,familiar_no,meaning,proper_noun_no,formal_no
england,5737923,-27,2,"[1, 1, 1, 1, 1]",1,0,"['none', 'none', 'none', 'none', 'none']",6,familiar_yes,opinion,proper_noun_yes,formal_no
gunning,2742584,39,1,"[1, 1, 1, 1, 1]",1,0,"['none', 'none', 'none', 'none', 'none']",3,familiar_no,meaning,proper_noun_no,formal_no
smut,818909,2394,0,"[2, 2, 2, 3, 3]",2.4,0.489897949,"['non_offensive', 'none', 'none', 'none', 'none']",6,familiar_no,meaning,proper_noun_no,formal_no
urban dictionary reject,9818421,-4,2,"[2, 2, 2, 2, 2]",2,0,"['none', 'none', 'none', 'none', 'none']",1,familiar_no,meaning,proper_noun_no,formal_no
dustbuster,2534751,15,1,"[2, 2, 3, 3, 3]",2.6,0.489897949,"['none', 'none', 'none', 'none', 'none']",2,familiar_no,meaning,proper_noun_no,formal_no
2012,2944576,2160,0,"[1, 1, 1, 3, 1]",1.4,0.8,"['non_offensive', 'non_offensive', 'none', 'none', 'none']",6,familiar_no,opinion,proper_noun_no,formal_no
mikey way,1222700,1120,0,"[1, 2, 2, 2, 2]",1.8,0.4,"['none', 'non_offensive', 'non_offensive', 'non_offensive', 'none']",4,familiar_no,meaning,proper_noun_no,formal_no
linkin park,1327964,149,2,"[1, 2, 3, 1, 2]",1.8,0.748331477,"['none', 'non_offensive', 'none', 'none', 'non_offensive']",6,familiar_no,opinion,proper_noun_yes,formal_yes
anime,1108157,7349,0,"[2, 2, 3, 2, 2]",2.2,0.4,"['none', 'non_offensive', 'none', 'none', 'none']",7,familiar_yes,meaning,proper_noun_no,formal_yes
inbred,965987,814,0,"[1, 2, 2, 1, 2]",1.6,0.489897949,"['none', 'none', 'none', 'none', 'none']",5,familiar_no,both,proper_noun_no,formal_no
lady gaga,4727379,11,2,"[1, 2, 2, 3, 2]",2,0.632455532,"['non_offensive', 'non_offensive', 'none', 'all_offensive', 'none']",7,familiar_yes,opinion,proper_noun_yes,formal_yes
ginger,2571766,1831,1,"[3, 2, 3, 3, 3]",2.8,0.4,"['none', 'none', 'none', 'none', 'non_offensive']",8,familiar_yes,both,proper_noun_no,formal_no
boston,1579673,2315,0,"[3, 3, 3, 2, 3]",2.8,0.4,"['none', 'all_offensive', 'none', 'none', 'all_offensive']",6,familiar_no,meaning,proper_noun_no,formal_no
new jersey,689225,1815,1,"[3, 3, 2, 2, 2]",2.4,0.489897949,"['none', 'all_offensive', 'none', 'all_offensive', 'non_offensive']",7,familiar_yes,both,proper_noun_yes,formal_yes
blood diamond,7867670,6,0,"[1, 2, 2, 3, 2]",2,0.632455532,"['none', 'none', 'all_offensive', 'all_offensive', 'none']",2,familiar_no,meaning,proper_noun_no,formal_no
the professor,2820159,26,1,"[3, 3, 3, 1, 3]",2.6,0.8,"['none', 'all_offensive', 'none', 'all_offensive', 'all_offensive']",2,familiar_no,meaning,proper_noun_no,formal_no
greasy,3164914,115,1,"[1, 1, 1, 1, 1]",1,0,"['none', 'none', 'none', 'none', 'none']",5,familiar_yes,meaning,proper_noun_no,formal_no
harry potter,1001811,6918,1,"[1, 1, 1, 1, 1]",1,0,"['none', 'none', 'none', 'non_offensive', 'none']",7,familiar_no,opinion,proper_noun_yes,formal_yes
dubstep,5175360,4986,0,"[1, 1, 1, 1, 1]",1,0,"['none', 'none', 'none', 'none', 'none']",7,familiar_no,meaning,proper_noun_no,formal_no
choppin,4250640,54,1,"[3, 3, 3, 3, 2]",2.8,0.4,"['none', 'none', 'non_offensive', 'none', 'none']",4,familiar_no,meaning,proper_noun_no,formal_no
awesomeness,2123839,-10,2,"[3, 2, 2, 2, 1]",2,0.632455532,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",5,familiar_yes,meaning,proper_noun_no,formal_no
vaganus,1449419,133,0,"[3, 2, 3, 3, 3]",2.8,0.4,"['none', 'all_offensive', 'none', 'none', 'all_offensive']",5,familiar_no,meaning,proper_noun_no,formal_no
packers,1923888,-6,2,"[2, 1, 1, 2, 3]",1.8,0.748331477,"['none', 'none', 'none', 'none', 'all_offensive']",4,familiar_no,meaning,proper_noun_no,formal_no
hoser,3623086,-12,2,"[1, 1, 1, 1, 1]",1,0,"['none', 'none', 'none', 'none', 'all_offensive']",5,familiar_no,meaning,proper_noun_no,formal_no
mtv,1397689,53,2,"[1, 1, 3, 2, 1]",1.6,0.8,"['all_offensive', 'none', 'none', 'non_offensive', 'all_offensive']",8,familiar_no,opinion,proper_noun_no,formal_yes
brick,4277648,-1,2,"[2, 3, 3, 1, 1]",2,0.894427191,"['non_offensive', 'non_offensive', 'none', 'none', 'non_offensive']",7,familiar_no,meaning,proper_noun_no,formal_no
snoot,3457256,-3,2,"[1, 1, 1, 1, 1]",1,0,"['none', 'non_offensive', 'non_offensive', 'none', 'none']",4,familiar_no,meaning,proper_noun_no,formal_no
bk,2307065,754,0,"[1, 1, 1, 1, 1]",1,0,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'none']",6,familiar_no,meaning,proper_noun_no,formal_no
blexican,1146688,56,1,"[1, 2, 2, 2, 3]",2,0.632455532,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",3,familiar_no,meaning,proper_noun_no,formal_no
duck butter,386513,194,1,"[1, 2, 2, 2, 1]",1.6,0.489897949,"['all_offensive', 'all_offensive', 'all_offensive', 'all_offensive', 'all_offensive']",6,familiar_no,meaning,proper_noun_no,formal_no
cheese,32693,1237,1,"[1, 1, 1, 2, 1]",1.2,0.4,"['non_offensive', 'none', 'none', 'non_offensive', 'non_offensive']",7,familiar_no,meaning,proper_noun_no,formal_no
clevland steamer,4058589,40,1,"[3, 3, 3, 3, 3]",3,0,"['all_offensive', 'none', 'none', 'none', 'none']",2,familiar_no,meaning,proper_noun_no,formal_no
slut,120499,21197,1,"[2, 2, 2, 1, 2]",1.8,0.4,"['none', 'all_offensive', 'none', 'none', 'none']",8,familiar_yes,both,proper_noun_no,formal_no
hot thomas,2003986,3,0,"[2, 2, 1, 3, 2]",2,0.632455532,"['all_offensive', 'all_offensive', 'all_offensive', 'all_offensive', 'all_offensive']",2,familiar_no,meaning,proper_noun_no,formal_no
democrat,3336145,6069,0,"[1, 1, 1, 3, 1]",1.4,0.8,"['all_offensive', 'all_offensive', 'none', 'none', 'all_offensive']",7,familiar_yes,meaning,proper_noun_no,formal_yes
florida,3269766,120,2,"[1, 1, 1, 1, 2]",1.2,0.4,"['none', 'none', 'all_offensive', 'all_offensive', 'all_offensive']",6,familiar_yes,meaning,proper_noun_yes,formal_yes
vox,1991875,55,2,"[2, 2, 2, 1, 1]",1.6,0.489897949,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",3,familiar_no,meaning,proper_noun_no,formal_no
justin beiber,5002735,-108,2,"[3, 3, 2, 3, 3]",2.8,0.4,"['all_offensive', 'none', 'none', 'none', 'all_offensive']",6,familiar_no,opinion,proper_noun_yes,formal_no
hambo,211875,9,1,"[1, 3, 3, 3, 3]",2.6,0.8,"['none', 'non_offensive', 'non_offensive', 'none', 'none']",3,familiar_no,meaning,proper_noun_no,formal_yes
lolfest,6260167,-2,2,"[3, 3, 1, 1, 1]",1.8,0.979795897,"['non_offensive', 'non_offensive', 'non_offensive', 'none', 'none']",2,familiar_no,meaning,proper_noun_no,formal_no
mexican,1419722,2862,0,"[2, 3, 3, 3, 3]",2.8,0.4,"['none', 'none', 'none', 'none', 'none']",6,familiar_no,meaning,proper_noun_no,formal_no
harry potter,3226624,-61,2,"[3, 3, 3, 3, 3]",3,0,"['none', 'none', 'none', 'non_offensive', 'none']",7,familiar_yes,meaning,proper_noun_yes,formal_no
toke,2562889,-15,2,"[3, 3, 3, 1, 3]",2.6,0.8,"['none', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",4,familiar_yes,meaning,proper_noun_no,formal_unclear
sawyer,9618234,2,2,"[2, 2, 2, 3, 2]",2.2,0.4,"['non_offensive', 'none', 'none', 'none', 'non_offensive']",4,familiar_no,both,proper_noun_yes,formal_no
blowjob,1251193,31720,0,"[2, 1, 1, 2, 1]",1.4,0.489897949,"['none', 'none', 'all_offensive', 'all_offensive', 'non_offensive']",7,familiar_no,meaning,proper_noun_no,formal_no
kiki,1536889,798,1,"[1, 2, 2, 3, 3]",2.2,0.748331477,"['non_offensive', 'non_offensive', 'none', 'none', 'none']",5,familiar_no,meaning,proper_noun_no,formal_no
zainab,4425334,365,1,"[2, 1, 3, 2, 2]",2,0.632455532,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",3,familiar_no,meaning,proper_noun_yes,formal_yes
everquest 2,1748344,33,0,"[3, 3, 3, 3, 3]",3,0,"['none', 'none', 'none', 'none', 'none']",2,familiar_no,both,proper_noun_yes,formal_no
gription,650617,147,0,"[1, 1, 2, 1, 3]",1.6,0.8,"['non_offensive', 'none', 'non_offensive', 'non_offensive', 'non_offensive']",4,familiar_no,meaning,proper_noun_no,formal_no
stick,5398595,125,1,"[3, 3, 3, 3, 2]",2.8,0.4,"['none', 'none', 'none', 'non_offensive', 'none']",6,familiar_no,meaning,proper_noun_no,formal_no
cheapskate,2541019,60,1,"[2, 2, 2, 2, 1]",1.8,0.4,"['non_offensive', 'none', 'non_offensive', 'non_offensive', 'non_offensive']",2,familiar_no,both,proper_noun_no,formal_no
egit,1732496,10,2,"[3, 3, 3, 3, 3]",3,0,"['non_offensive', 'none', 'none', 'none', 'non_offensive']",2,familiar_yes,meaning,proper_noun_no,formal_no
cherry,211185,-22,2,"[3, 3, 3, 3, 3]",3,0,"['none', 'non_offensive', 'none', 'none', 'none']",6,familiar_no,meaning,proper_noun_no,formal_no
shrek,6974512,1276,1,"[2, 2, 3, 2, 2]",2.2,0.4,"['none', 'non_offensive', 'none', 'none', 'none']",5,familiar_no,meaning,proper_noun_no,formal_no
whitewash,4931740,157,1,"[2, 3, 2, 2, 2]",2.2,0.4,"['none', 'none', 'none', 'none', 'none']",4,familiar_no,meaning,proper_noun_no,formal_no
skateboarding,1448923,1001,1,"[1, 2, 2, 3, 3]",2.2,0.748331477,"['none', 'none', 'none', 'none', 'none']",5,familiar_no,both,proper_noun_no,formal_no
rebel,1397684,2685,0,"[1, 2, 1, 1, 1]",1.2,0.4,"['none', 'non_offensive', 'non_offensive', 'none', 'none']",5,familiar_yes,meaning,proper_noun_no,formal_no
joe,6322672,9,2,"[3, 1, 1, 3, 1]",1.8,0.979795897,"['non_offensive', 'non_offensive', 'none', 'non_offensive', 'none']",7,familiar_no,opinion,proper_noun_yes,formal_yes
rube,19263,544,0,"[2, 1, 2, 1, 1]",1.4,0.489897949,"['none', 'none', 'none', 'none', 'non_offensive']",4,familiar_no,meaning,proper_noun_no,formal_no
kiki,6656587,2336,0,"[3, 3, 1, 2, 2]",2.2,0.748331477,"['non_offensive', 'non_offensive', 'none', 'none', 'none']",5,familiar_no,meaning,proper_noun_no,formal_no
isaac newton,3039175,104,0,"[3, 2, 3, 3, 2]",2.6,0.489897949,"['none', 'none', 'none', 'non_offensive', 'none']",2,familiar_yes,meaning,proper_noun_yes,formal_no
epic fail,2937541,6639,0,"[1, 3, 3, 3, 3]",2.6,0.8,"['none', 'none', 'none', 'non_offensive', 'none']",6,familiar_no,meaning,proper_noun_no,formal_unclear
assrag,1498063,10,0,"[2, 3, 2, 3, 3]",2.6,0.489897949,"['none', 'non_offensive', 'none', 'none', 'none']",2,familiar_no,meaning,proper_noun_no,formal_no
phoenix,3600156,-28,2,"[2, 1, 1, 1, 1]",1.2,0.4,"['non_offensive', 'none', 'non_offensive', 'none', 'none']",5,familiar_no,meaning,proper_noun_yes,formal_no
durr,260318,131,1,"[3, 2, 3, 2, 3]",2.6,0.489897949,"['none', 'none', 'non_offensive', 'none', 'none']",4,familiar_yes,meaning,proper_noun_no,formal_no
charva,430651,363,0,"[1, 2, 2, 1, 1]",1.4,0.489897949,"['none', 'none', 'none', 'none', 'none']",6,familiar_no,opinion,proper_noun_no,formal_no
psp,997564,-25,2,"[1, 2, 1, 1, 1]",1.2,0.4,"['non_offensive', 'none', 'none', 'non_offensive', 'none']",6,familiar_yes,both,proper_noun_no,formal_yes
skateboarding,325985,1272,0,"[3, 3, 3, 2, 2]",2.6,0.489897949,"['none', 'none', 'none', 'none', 'none']",5,familiar_yes,opinion,proper_noun_no,formal_yes
austin,3254826,4665,0,"[3, 2, 1, 2, 1]",1.8,0.748331477,"['all_offensive', 'none', 'none', 'none', 'none']",7,familiar_no,meaning,proper_noun_yes,formal_no
snorking,3931571,8,0,"[2, 3, 3, 1, 3]",2.4,0.8,"['none', 'none', 'non_offensive', 'non_offensive', 'none']",3,familiar_no,meaning,proper_noun_no,formal_no
kidult,1582714,1058,0,"[2, 1, 3, 2, 2]",2,0.632455532,"['none', 'none', 'all_offensive', 'non_offensive', 'none']",3,familiar_no,meaning,proper_noun_no,formal_no
shits and giggles,2921856,-79,2,"[1, 1, 1, 1, 1]",1,0,"['none', 'none', 'non_offensive', 'none', 'none']",3,familiar_no,meaning,proper_noun_no,formal_no
gracie,6171102,364,2,"[2, 2, 3, 2, 1]",2,0.632455532,"['none', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",4,familiar_no,both,proper_noun_yes,formal_no
8 ball,230600,-96,2,"[1, 3, 3, 3, 3]",2.6,0.8,"['non_offensive', 'none', 'none', 'non_offensive', 'none']",3,familiar_yes,meaning,proper_noun_no,formal_yes
dw,195166,726,0,"[2, 1, 1, 2, 2]",1.6,0.489897949,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",4,familiar_no,meaning,proper_noun_no,formal_no
pound salt,5555687,24,2,"[3, 3, 1, 1, 1]",1.8,0.979795897,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'none']",2,familiar_no,meaning,proper_noun_no,formal_no
beaver cleaver,1417580,81,0,"[1, 3, 3, 1, 3]",2.2,0.979795897,"['all_offensive', 'all_offensive', 'all_offensive', 'all_offensive', 'none']",2,familiar_no,meaning,proper_noun_no,formal_no
internet explorer,8256736,1,2,"[1, 1, 1, 1, 1]",1,0,"['none', 'none', 'none', 'none', 'none']",6,familiar_no,meaning,proper_noun_no,formal_no
hardcore dancing,1204238,792,0,"[2, 3, 3, 3, 3]",2.8,0.4,"['non_offensive', 'none', 'none', 'none', 'none']",6,familiar_no,meaning,proper_noun_no,formal_yes
chocolate orgasm,4548453,5,2,"[3, 2, 3, 3, 3]",2.8,0.4,"['none', 'none', 'none', 'none', 'non_offensive']",2,familiar_no,meaning,proper_noun_no,formal_no
shit,2647700,-1,2,"[3, 3, 3, 3, 3]",3,0,"['none', 'none', 'none', 'none', 'none']",7,familiar_yes,meaning,proper_noun_no,formal_no
sobia,6243587,35,0,"[3, 3, 3, 2, 3]",2.8,0.4,"['none', 'none', 'none', 'non_offensive', 'none']",2,familiar_no,meaning,proper_noun_yes,formal_yes
aaron,6224844,8,2,"[2, 3, 3, 2, 3]",2.6,0.489897949,"['none', 'none', 'none', 'non_offensive', 'none']",7,familiar_no,meaning,proper_noun_yes,formal_no
nightwing,3511774,111,1,"[2, 2, 2, 1, 2]",1.8,0.4,"['none', 'none', 'none', 'non_offensive', 'non_offensive']",2,familiar_no,both,proper_noun_yes,formal_no
grierson,1469571,86,0,"[1, 2, 1, 1, 3]",1.6,0.8,"['none', 'non_offensive', 'none', 'none', 'non_offensive']",2,familiar_no,meaning,proper_noun_no,formal_no
ripper,895047,489,0,"[2, 1, 1, 2, 1]",1.4,0.489897949,"['none', 'none', 'none', 'none', 'none']",5,familiar_no,meaning,proper_noun_no,formal_no
snowmageddon,5576344,0,2,"[2, 2, 2, 2, 3]",2.2,0.4,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",3,familiar_no,meaning,proper_noun_no,formal_no
cute,331131,2756,1,"[2, 3, 1, 2, 3]",2.2,0.748331477,"['non_offensive', 'none', 'non_offensive', 'non_offensive', 'none']",7,familiar_no,meaning,proper_noun_no,formal_no
guido,6159707,3,2,"[3, 2, 3, 2, 3]",2.6,0.489897949,"['all_offensive', 'none', 'none', 'none', 'none']",7,familiar_no,meaning,proper_noun_no,formal_no
fetti,2338712,24,2,"[3, 2, 3, 2, 2]",2.4,0.489897949,"['none', 'non_offensive', 'non_offensive', 'non_offensive', 'none']",2,familiar_no,meaning,proper_noun_no,formal_no
josh,3832251,10670,0,"[3, 2, 2, 3, 2]",2.4,0.489897949,"['none', 'non_offensive', 'none', 'none', 'non_offensive']",7,familiar_no,opinion,proper_noun_yes,formal_yes
hobosexual,1179918,4555,0,"[3, 3, 3, 2, 3]",2.8,0.4,"['none', 'none', 'none', 'none', 'none']",6,familiar_no,meaning,proper_noun_no,formal_no
sharky,3917262,91,0,"[2, 2, 2, 2, 2]",2,0,"['none', 'none', 'none', 'none', 'none']",4,familiar_no,meaning,proper_noun_no,formal_no
townie,619110,2,2,"[3, 3, 2, 2, 2]",2.4,0.489897949,"['all_offensive', 'none', 'all_offensive', 'all_offensive', 'all_offensive']",7,familiar_no,meaning,proper_noun_no,formal_no
bird,5124,2192,0,"[2, 1, 1, 2, 2]",1.6,0.489897949,"['none', 'none', 'none', 'non_offensive', 'none']",7,familiar_no,both,proper_noun_no,formal_no
bob,4902007,106,2,"[2, 3, 2, 2, 2]",2.2,0.4,"['none', 'none', 'none', 'none', 'none']",7,familiar_no,meaning,proper_noun_yes,formal_no
dat boi,9655312,3,2,"[2, 1, 2, 1, 1]",1.4,0.489897949,"['none', 'non_offensive', 'non_offensive', 'none', 'none']",4,familiar_no,meaning,proper_noun_no,formal_no
pinger,226726,287,0,"[2, 3, 3, 3, 3]",2.8,0.4,"['none', 'none', 'none', 'none', 'none']",4,familiar_no,meaning,proper_noun_no,formal_no
donkey,371891,680,0,"[1, 1, 3, 1, 1]",1.4,0.8,"['none', 'none', 'none', 'none', 'none']",6,familiar_no,meaning,proper_noun_no,formal_no
chris browned,3880782,-2,2,"[2, 2, 2, 3, 1]",2,0.632455532,"['none', 'none', 'none', 'none', 'all_offensive']",5,familiar_no,meaning,proper_noun_no,formal_no
nigglet,1106198,2628,0,"[2, 3, 3, 3, 2]",2.6,0.489897949,"['non_offensive', 'non_offensive', 'none', 'none', 'all_offensive']",6,familiar_no,meaning,proper_noun_no,formal_no
weed,3357662,88,2,"[2, 2, 2, 2, 2]",2,0,"['none', 'none', 'none', 'all_offensive', 'none']",7,familiar_no,meaning,proper_noun_no,formal_no
the cave,3522488,2,1,"[2, 2, 2, 2, 2]",2,0,"['all_offensive', 'none', 'all_offensive', 'all_offensive', 'all_offensive']",3,familiar_yes,opinion,proper_noun_yes,formal_yes
rock,904294,-21,2,"[2, 1, 1, 2, 2]",1.6,0.489897949,"['none', 'none', 'none', 'none', 'non_offensive']",7,familiar_yes,meaning,proper_noun_no,formal_yes
8 ball,500788,1259,1,"[3, 1, 1, 2, 1]",1.6,0.8,"['non_offensive', 'none', 'none', 'non_offensive', 'none']",3,familiar_no,meaning,proper_noun_no,formal_no
wdym,5347069,22,1,"[1, 1, 2, 2, 3]",1.8,0.748331477,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",2,familiar_no,meaning,proper_noun_no,formal_no
cross country,480381,1900,1,"[2, 2, 2, 2, 2]",2,0,"['none', 'none', 'none', 'none', 'none']",6,familiar_yes,meaning,proper_noun_no,formal_no
nicole,1867329,8637,0,"[2, 2, 3, 2, 2]",2.2,0.4,"['non_offensive', 'none', 'non_offensive', 'non_offensive', 'non_offensive']",7,familiar_no,meaning,proper_noun_no,formal_no
bumble,5254297,-2,2,"[1, 1, 1, 1, 1]",1,0,"['none', 'none', 'none', 'non_offensive', 'none']",4,familiar_no,meaning,proper_noun_no,formal_no
pms,3528584,-9,2,"[3, 3, 2, 3, 2]",2.6,0.489897949,"['none', 'none', 'none', 'all_offensive', 'none']",7,familiar_no,meaning,proper_noun_no,formal_no
chuck norris,2959112,10908,0,"[1, 2, 2, 1, 2]",1.6,0.489897949,"['none', 'none', 'none', 'none', 'none']",8,familiar_yes,opinion,proper_noun_yes,formal_unclear
community college,4019673,625,1,"[3, 2, 3, 2, 3]",2.6,0.489897949,"['none', 'none', 'none', 'none', 'none']",4,familiar_yes,opinion,proper_noun_no,formal_yes
shabba,1559787,27,2,"[1, 2, 1, 3, 2]",1.8,0.748331477,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",4,familiar_no,meaning,proper_noun_no,formal_no
family guy,3564241,1541,1,"[1, 3, 2, 1, 1]",1.6,0.8,"['none', 'non_offensive', 'non_offensive', 'non_offensive', 'none']",6,familiar_no,opinion,proper_noun_no,formal_no
josh,9547706,0,2,"[1, 1, 1, 1, 1]",1,0,"['none', 'non_offensive', 'none', 'none', 'non_offensive']",7,familiar_no,meaning,proper_noun_yes,formal_no
donkey,1409624,-12,2,"[3, 3, 2, 3, 3]",2.8,0.4,"['none', 'none', 'none', 'none', 'none']",6,familiar_no,meaning,proper_noun_no,formal_no
spun,73567,293,0,"[1, 1, 1, 2, 1]",1.2,0.4,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",4,familiar_no,meaning,proper_noun_no,formal_no
bush,149119,9813,1,"[2, 2, 2, 1, 2]",1.8,0.4,"['none', 'all_offensive', 'none', 'non_offensive', 'none']",8,familiar_no,opinion,proper_noun_no,formal_no
drag,1821351,10,2,"[2, 1, 1, 2, 1]",1.4,0.489897949,"['non_offensive', 'none', 'none', 'non_offensive', 'none']",5,familiar_yes,meaning,proper_noun_no,formal_no
ying yang,2814083,69,1,"[2, 1, 1, 1, 1]",1.2,0.4,"['none', 'none', 'none', 'none', 'none']",4,familiar_no,opinion,proper_noun_no,formal_no
bitchass,398278,164,1,"[2, 2, 2, 2, 2]",2,0,"['all_offensive', 'none', 'none', 'non_offensive', 'none']",4,familiar_no,meaning,proper_noun_no,formal_no
smh,1756782,262,1,"[1, 1, 2, 2, 2]",1.6,0.489897949,"['non_offensive', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",6,familiar_yes,meaning,proper_noun_no,formal_no
green death,2214266,64,0,"[2, 1, 1, 1, 2]",1.4,0.489897949,"['none', 'none', 'non_offensive', 'non_offensive', 'non_offensive']",2,familiar_no,meaning,proper_noun_no,formal_no
george bush,881390,8916,0,"[3, 2, 2, 1, 2]",2,0.632455532,"['all_offensive', 'none', 'none', 'non_offensive', 'all_offensive']",8,familiar_yes,opinion,proper_noun_yes,formal_yes
nig,1180517,1639,1,"[3, 2, 1, 1, 2]",1.8,0.748331477,"['non_offensive', 'none', 'non_offensive', 'all_offensive', 'all_offensive']",5,familiar_no,meaning,proper_noun_no,formal_no
scene kid,1873179,1814,1,"[1, 3, 3, 3, 1]",2.2,0.979795897,"['none', 'non_offensive', 'non_offensive', 'non_offensive', 'none']",7,familiar_no,opinion,proper_noun_no,formal_no
magnum,3217774,50,2,"[3, 3, 2, 3, 2]",2.6,0.489897949,"['all_offensive', 'none', 'none', 'none', 'none']",5,familiar_yes,meaning,proper_noun_no,formal_no
crunk,131038,4702,1,"[2, 3, 2, 1, 3]",2.2,0.748331477,"['none', 'none', 'none', 'non_offensive', 'non_offensive']",8,familiar_no,meaning,proper_noun_no,formal_no
luke,2781610,3503,1,"[2, 3, 3, 3, 1]",2.4,0.8,"['none', 'none', 'none', 'none', 'non_offensive']",7,familiar_no,meaning,proper_noun_no,formal_yes
tien,1831214,216,0,"[1, 1, 1, 1, 1]",1,0,"['none', 'non_offensive', 'non_offensive', 'non_offensive', 'non_offensive']",2,familiar_no,meaning,proper_noun_no,formal_no
embarrassing,2559084,-8,2,"[3, 3, 3, 2, 3]",2.8,0.4,"['non_offensive', 'none', 'non_offensive', 'none', 'non_offensive']",2,familiar_yes,meaning,proper_noun_no,formal_yes
face time,2830553,23,1,"[1, 2, 1, 3, 3]",2,0.894427191,"['non_offensive', 'non_offensive', 'non_offensive', 'none', 'non_offensive']",4,familiar_no,meaning,proper_noun_no,formal_no
